playlists.items.track.albumName,playlists.items.track.artistName,playlists.items.track.trackName,playlists.items.track.trackUri,playlists.name
Document (R.E.M. No. 5),R.E.M.,It's The End Of The World As We Know It (And I Feel Fine),spotify:track:2oSpQ7QtIKTNFfA08Cy0ku,"1 or 11? Its Aces, Charles!"
Document (R.E.M. No. 5),R.E.M.,It's The End Of The World As We Know It (And I Feel Fine),spotify:track:2oSpQ7QtIKTNFfA08Cy0ku,I Will Survive
Document (R.E.M. No. 5),R.E.M.,It's The End Of The World As We Know It (And I Feel Fine),spotify:track:2oSpQ7QtIKTNFfA08Cy0ku,Rock Paper Scissors
Dookie,Green Day,Basket Case,spotify:track:6L89mwZXSOwYl76YXfX13s,Rock Paper Scissors
Dookie,Green Day,Longview,spotify:track:3LRJbFT9rKoKv4aW7PuBJC,Rock Paper Scissors
Dookie,Green Day,Welcome to Paradise,spotify:track:5kr3j5Clb9rjEposoMyLVt,Rock Paper Scissors
Dookie,Green Day,When I Come Around,spotify:track:1Dr1fXbc2IxaK1Mu8P8Khz,HOmeWorK BANgers
Dookie,Green Day,When I Come Around,spotify:track:1Dr1fXbc2IxaK1Mu8P8Khz,Rock Paper Scissors
Down the Way,Angus & Julia Stone,Big Jet Plane,spotify:track:3WGsYiBXmaT8XyY4Fmry2v,Missing Her
Down the Way,Angus & Julia Stone,Big Jet Plane,spotify:track:3WGsYiBXmaT8XyY4Fmry2v,The Knew
Dream Your Life Away,Vance Joy,Fire and the Flood,spotify:track:6liNJDyWJjyHAgDnAX95bw,Missing Her
Drones,Muse,Psycho,spotify:track:383QXk8nb2YrARMUwDdjQS,Missing Her
Drones,Muse,Psycho,spotify:track:383QXk8nb2YrARMUwDdjQS,The Knew
"Echoes, Silence, Patience & Grace",Foo Fighters,The Pretender,spotify:track:7x8dCjCr0x6x2lXKujYD34,Missing Her
"Echoes, Silence, Patience & Grace",Foo Fighters,The Pretender,spotify:track:7x8dCjCr0x6x2lXKujYD34,Rock Paper Scissors
Edge of the World,Youngblood Hawke,Knock Me Down,spotify:track:2R8pXE4O7rCPlFX8gcnZq4,The Knew
Egomaniac,KONGOS,Take It From Me,spotify:track:1oxPrSHvcFiX9cqiQXCIHE,The Knew
El Camino,The Black Keys,Gold on the Ceiling,spotify:track:5lN1EH25gdiqT1SFALMAq1,The Knew
Elephant,The White Stripes,Seven Nation Army,spotify:track:3dPQuX8Gs42Y7b454ybpMR,I Will Survive
Elephant,The White Stripes,Seven Nation Army,spotify:track:3dPQuX8Gs42Y7b454ybpMR,Rock Paper Scissors
Elvis 30 #1 Hits,Elvis Presley,A Little Less Conversation - JXL Radio Edit Remix,spotify:track:7FNIEfhhBlzsZFxCwI5Nwh,"1 or 11? Its Aces, Charles!"
Endless Smile,Degiheugi,Qu'attendez Vous De Moi ?,spotify:track:3axxHYQ0tGeHyA09jkXznd,Missing Her
Enter the Mowo!,Mocean Worker,Blackbird (feat. Nina Simone),spotify:track:647y1Osvj3b181y7aWevnP,Perfect Playlist Pt 2
Enter the Mowo!,Mocean Worker,Blackbird (feat. Nina Simone),spotify:track:647y1Osvj3b181y7aWevnP,Rock Paper Scissors
Epic Soundtracks and Orchestral Music,Hans Zimmer,Wonder Woman Main Theme,spotify:track:0oz9ITtPIt3iI1nzdVX9L2,I Will Survive
Erase You,Bleeker,Highway,spotify:track:7aQT5OB4zEgyyxfRDbOBIt,The Knew
