danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,neg,neu,pos
0.729,0.496,0,-10.196,1,0.0733,0.152,0.0531,0.115,0.559,81.052,219214,4,,,
0.729,0.496,0,-10.196,1,0.0733,0.152,0.0531,0.115,0.559,81.052,219214,4,,,
0.803,0.695,7,-7.768,1,0.0465,0.0668,0.0013,0.133,0.421,89.999,263941,4,,,
0.803,0.695,7,-7.768,1,0.0465,0.0668,0.0013,0.133,0.421,89.999,263941,4,,,
0.701,0.692,9,-7.526,0,0.0372,0.179,0.00999,0.0994,0.561,114.96,305467,4,,,
0.701,0.692,9,-7.526,0,0.0372,0.179,0.00999,0.0994,0.561,114.96,305467,4,,,
0.725,0.641,7,-6.135,0,0.0481,0.194,0.00498,0.091,0.786,87.732,218653,4,0.318,0.649,0.034
0.725,0.641,7,-6.135,0,0.0481,0.194,0.00498,0.091,0.786,87.732,218653,4,0.318,0.649,0.034
0.558,0.506,9,-9.875,1,0.216,0.859,0.123,0.266,0.448,173.25,189282,4,,,
0.558,0.506,9,-9.875,1,0.216,0.859,0.123,0.266,0.448,173.25,189282,4,,,
0.653,0.526,2,-8.504,1,0.0351,0.0148,0.276,0.174,0.395,85.019,285093,4,,,
0.653,0.526,2,-8.504,1,0.0351,0.0148,0.276,0.174,0.395,85.019,285093,4,,,
0.946,0.66,6,-7.497,0,0.148,0.0834,6.83e-05,0.0436,0.808,134.973,157524,4,,,
0.946,0.66,6,-7.497,0,0.148,0.0834,6.83e-05,0.0436,0.808,134.973,157524,4,,,
0.517,0.598,8,-10.251,0,0.1,0.275,0.000542,0.276,0.528,140.131,316045,4,,,
0.517,0.598,8,-10.251,0,0.1,0.275,0.000542,0.276,0.528,140.131,316045,4,,,
0.817,0.507,6,-7.77,0,0.127,0.0218,0.0,0.101,0.619,169.974,149107,4,,,
0.817,0.507,6,-7.77,0,0.127,0.0218,0.0,0.101,0.619,169.974,149107,4,,,
0.442,0.446,9,-11.354,0,0.786,0.278,0.0,0.308,0.295,51.539,161080,4,,,
0.442,0.446,9,-11.354,0,0.786,0.278,0.0,0.308,0.295,51.539,161080,4,,,
0.693,0.278,3,-11.715,0,0.114,0.79,0.0,0.366,0.862,85.076,108562,3,,,
0.693,0.278,3,-11.715,0,0.114,0.79,0.0,0.366,0.862,85.076,108562,3,,,
0.765,0.356,11,-5.556,0,0.196,0.222,0.0,0.0963,0.19,97.001,198293,4,0.127,0.738,0.134
0.765,0.356,11,-5.556,0,0.196,0.222,0.0,0.0963,0.19,97.001,198293,4,0.127,0.738,0.134
0.566,0.675,6,-8.904,1,0.0322,0.00714,0.00338,0.143,0.369,93.893,253787,4,,,
0.566,0.675,6,-8.904,1,0.0322,0.00714,0.00338,0.143,0.369,93.893,253787,4,,,
0.702,0.762,8,-2.733,1,0.0328,0.00196,0.000451,0.142,0.233,95.019,164200,4,0.121,0.695,0.184
0.702,0.762,8,-2.733,1,0.0328,0.00196,0.000451,0.142,0.233,95.019,164200,4,0.121,0.695,0.184
0.643,0.644,0,-4.61,1,0.029,0.0142,0.0897,0.215,0.659,86.974,115931,4,,,
0.643,0.644,0,-4.61,1,0.029,0.0142,0.0897,0.215,0.659,86.974,115931,4,,,
0.772,0.84,2,-4.48,1,0.103,0.0218,0.0,0.288,0.613,129.928,192459,4,0.099,0.698,0.204
0.772,0.84,2,-4.48,1,0.103,0.0218,0.0,0.288,0.613,129.928,192459,4,0.099,0.698,0.204
